Year,Ticker,Company,dldte,company status,dlrsn,Current Assets(act),Assets Total(at),Capital Expenditures (capx),Common Equity Total (ceq),Cash and Short-Term Investments (che),Debt in Current Liabilities - Total (dlc),Long-Term Debt - Issuance (dltis),Long-Term Debt - Reduction (dltr),Long-Term Debt - Total (dltt),Cash Dividends Paid (dv),ebit,ebitda,Gross Profit (gp),Inventories - Total (invt),Short-Term Investments - Total (ivst),Current Liabilities - Total (lct),Liabilities - Total (lt),Net Income/Loss (ni),Notes Payable - Short-Term Borrowings (np),Operating Activities - Net Cash Flow (oancf),Operating Income After Depreciation (oiadp),"Property, Plant, and Equipment - Net (ppent)",Retained Earnings (re),Receivables - Total (rect),Revenue - Total (revt),Sales/Turnover - Net (sale),Stockholders Equity - Parent (seq),Special Items (spi),Deferred Taxes and Investment Tax Credit (txditc),Working Capital (wcap),Market Value - Total (mkvalt),Price Close - Fiscal Year (prcc_f),act_scaled,che_scaled,lct_scaled,dlc_scaled,np_scaled,wcap_scaled,ivst_scaled,ni_scaled,ebit_scaled,ebitda_scaled,gp_scaled,log_revt,oiadp_scaled,dltt_scaled,lt_scaled,ceq_scaled,seq_scaled,txditc_scaled,log_at,rect_scaled,invt_scaled,ppent_scaled,sale_scaled,oancf_scaled,capx_scaled,dv_scaled,dltr_scaled,dltis_scaled,log_mkvalt,prcc_f_scaled,re_scaled,spi_scaled,Market Value - Total (mkvalt)_naflag,Price Close - Fiscal Year (prcc_f)_naflag,Operating Activities - Net Cash Flow (oancf)_naflag,Deferred Taxes and Investment Tax Credit (txditc)_naflag,Retained Earnings (re)_naflag
2002.0,AAP,ADVANCE AUTO PARTS INC,,A,,1185.472,1965.225,98.186,468.356,13.885,11.559,308.1,541.391,724.832,0.0,237.517,331.607,1542.084,1048.803,0.0,722.576,1496.869,65.019,0.869,242.996,237.517,728.432,-140.867,102.574,3287.883,3287.883,468.356,-37.265,0.0,462.896,1747.4415,48.9,0.603224567,0.019215972,0.367681054,0.005881769,0.000442189,0.235543513,0.0,0.033084761,0.120859952,0.221533748,0.469020339,8.098303272,0.120859952,1.547609084,0.761678179,0.238321821,1.0,0.0,7.58387074,0.031197582,0.318990366,0.370660866,1.673031332,0.1236479283542597,0.404064264,0.0,0.746919286,0.156775942,7.465907997152769,3.838304552590267,-0.07167983309799132,-0.018962205,0,0,0,0,0
2003.0,AAP,ADVANCE AUTO PARTS INC,,A,,1226.454,1983.071,101.177,631.244,11.487,53.305,452.6,746.762,422.78,0.0,298.651,399.388,1705.255,1113.781,0.0,853.945,1351.827,124.935,31.085,355.921,298.651,712.702,-15.869,84.799,3493.696,3493.696,631.244,-57.705,39.525,372.509,3007.0788,81.4,0.618461971,0.013451686,0.430617462,0.026880026,0.015675183,0.18784451,0.0,0.06300077,0.150600256,0.29544313,0.488094843,8.159001669,0.150600256,0.669756861,0.681683611,0.318316389,1.0,0.019931208,7.592906073,0.024272003,0.318797342,0.359393083,1.761760421,0.17947970597119317,0.284268138,0.0,1.766313449,0.228231869,8.008724388165623,4.386957693344113,-0.00800223491745883,-0.029098807,0,0,0,0,0
2004.0,AAP,ADVANCE AUTO PARTS INC,,A,,1377.427,2201.962,179.766,722.315,56.321,108.78,256.5,231.5,438.3,0.0,328.758,433.635,1858.248,1201.45,0.0,961.125,1479.647,187.988,77.08,263.794,328.758,786.212,173.462,101.969,3770.297,3770.297,722.315,-3.23,43.636,416.302,3155.6616,43.68,0.625545309,0.058599038,0.436485734,0.049401397,0.035005145,0.189059575,0.0,0.085372954,0.149302304,0.293066522,0.492865151,8.235174253,0.149302304,0.606798973,0.671967545,0.328032455,1.0,0.019816872,7.697558097,0.027045349,0.318661899,0.357050667,1.712244353,0.11979952424247102,0.681463566,0.0,0.528177048,0.116487024,8.056953451882224,2.170434782608696,0.07877610966946749,-0.001466874,0,0,0,0,0
2005.0,AAP,ADVANCE AUTO PARTS INC,,A,,1547.94,2542.149,216.214,919.771,40.783,202.281,2.0,59.512,406.04,0.0,408.492,528.43,2134.416,1367.099,0.0,1141.464,1622.378,234.725,169.521,325.211,408.492,898.851,410.463,94.689,4264.971,4264.971,919.771,0.0,36.958,406.476,4702.2851,43.46,0.608910021,0.035728678,0.44901538,0.079570867,0.066684132,0.15989464,0.0,0.092333298,0.16068767,0.325713243,0.500452641,8.358425101,0.16068767,0.441457711,0.638191546,0.361808454,1.0,0.014538094,7.841158356,0.022201558,0.320541218,0.353579196,1.677702999,0.1279275919704156,0.66484221,0.0,0.146566841,0.000786736,8.455803861034724,2.0139017608897127,0.1614629984316419,0.0,0,0,0,0,0
2006.0,AAP,ADVANCE AUTO PARTS INC,,A,,1611.973,2682.681,258.586,1030.854,11.128,161.816,678.098,639.635,477.173,19.153,403.35,542.773,2340.587,1463.34,0.0,1113.42,1651.827,231.318,161.749,333.604,403.35,994.977,616.69,97.046,4616.503,4616.503,1030.854,0.986,26.048,498.553,3746.2816,35.56,0.600881357,0.009994432,0.415040029,0.060318763,0.060293788,0.185841328,0.0,0.086226428,0.150353322,0.328589495,0.507004328,8.437609362,0.150353322,0.462890962,0.615737391,0.384262609,1.0,0.00970969,7.894944639,0.021021539,0.31698019,0.370889047,1.72085425,0.12435470337322999,0.775128596,0.082799436,1.340467713,0.252768779,8.228519053697067,1.4866158586293536,0.22987824493482453,0.000367543,0,0,0,0,0
2007.0,AAP,ADVANCE AUTO PARTS INC,,A,,1682.825,2805.566,210.6,1023.795,14.654,184.159,495.4,471.2,505.062,25.152,416.429,563.693,2468.233,1529.469,0.0,1225.928,1781.771,238.317,183.549,410.542,416.429,1047.944,823.77,84.983,4844.404,4844.404,1023.795,0.0,0.705,456.897,3763.2894,37.99,0.599816579,0.011953394,0.436962809,0.065640587,0.065423162,0.16285377,0.0,0.084944357,0.148429586,0.316366694,0.509501891,8.485785906,0.148429586,0.49332337,0.635084329,0.364915671,1.0,0.000251286,7.939716951,0.017542509,0.315718714,0.373523204,1.726711829,0.14633125722225035,0.512980402,0.1055401,0.932954766,0.17657756,8.233048694359626,2.4692882677933055,0.29361989701899727,0.0,0,0,0,0,0
2008.0,AAP,ADVANCE AUTO PARTS INC,,A,,1807.626,2964.065,184.986,1075.166,37.358,157.977,438.6,488.1,455.161,23.181,414.927,561.507,2609.644,1623.088,0.0,1364.994,1888.899,238.038,156.974,478.739,414.927,1071.405,1030.279,97.203,5142.255,5142.255,1075.166,0.0,5.316,442.632,3191.7698,33.65,0.60984695,0.027368618,0.460514193,0.053297414,0.052959028,0.149332758,0.0,0.080307955,0.139985797,0.297266821,0.507490196,8.545441427,0.139985797,0.42334021,0.637266389,0.362733611,1.0,0.001793483,7.994654234,0.018902797,0.3156374,0.361464745,1.734865801,0.16151433926044131,0.386402612,0.097383611,1.0723678,0.147972463,8.0683308381746,3.5683987274655355,0.34758988078871417,0.0,0,0,0,0,0
2009.0,AAP,ADVANCE AUTO PARTS INC,,A,,1887.618,3072.963,192.934,1282.365,100.018,33.436,173.4,425.585,202.927,22.803,454.385,605.302,2795.143,1631.867,0.0,1466.027,1790.598,270.373,32.092,699.69,454.385,1100.338,1280.569,92.56,5412.623,5412.623,1282.365,0.0,54.645,421.591,3789.859,40.48,0.614266426,0.068223846,0.47707278,0.010880704,0.010443341,0.137193647,0.0,0.087984463,0.147865432,0.338044609,0.516411913,8.596673833,0.147865432,0.158244338,0.582694292,0.417305708,1.0,0.017782512,8.030722888,0.017100766,0.301492825,0.358070696,1.761369401,0.2276922956768435,0.275742114,0.084339043,2.09723201,0.056427624,8.24008409421819,2.544311753614079,0.4167212556740839,0.0,0,0,0,0,0
2010.0,AAP,ADVANCE AUTO PARTS INC,,A,,2124.271,3354.217,199.585,1039.374,59.209,32.621,373.761,275.704,300.851,21.051,584.933,749.37,3125.752,1863.87,0.0,1848.049,2314.843,346.053,31.648,666.159,584.933,1143.17,1611.33,124.227,5925.203,5925.203,1039.374,0.0,51.117,276.222,5421.3894,66.15,0.633313527,0.032038653,0.550962863,0.00972537,0.009435287,0.082350665,0.0,0.103169533,0.174387346,0.323723898,0.527535006,8.687138983,0.174387346,0.289454037,0.690129172,0.309870828,1.0,0.015239622,8.118271727,0.020965864,0.314566438,0.340815755,1.766493641,0.19860342965288172,0.29960565,0.060831722,0.916413773,0.111430179,8.598107408445918,3.799540493968984,0.4803893129156521,0.0,0,0,0,0,0
2011.0,AAP,ADVANCE AUTO PARTS INC,,A,,2293.82,3655.754,268.129,847.914,57.901,0.848,1435.2,1320.2,415.136,18.554,664.642,840.591,3245.239,2043.158,0.0,2187.875,2807.84,394.682,0.0,828.849,664.642,1223.099,1992.433,140.007,6170.462,6170.462,847.914,0.0,73.165,105.945,5068.9944,69.63,0.627454692,0.026464492,0.59847435,0.000231963,0.0,0.028980342,0.0,0.10796186,0.181807091,0.299372828,0.525931284,8.727691042,0.181807091,0.489596822,0.768060433,0.231939567,1.0,0.020013655,8.204331148,0.022689873,0.331119129,0.33456819,1.687876701,0.22672450060917668,0.323495594,0.047009998,3.180162645,0.392586591,8.53089773371735,3.385026737967914,0.5450128755928326,0.0,0,0,0,0,0
2012.0,AAP,ADVANCE AUTO PARTS INC,,A,,3184.2,4613.814,271.182,1210.694,598.111,0.627,358.404,173.5,604.461,17.596,657.315,846.859,3287.58,2308.609,0.0,2559.638,3403.12,387.67,0.0,685.281,657.315,1291.759,717.567,229.866,6205.003,6205.003,1210.694,0.0,100.235,624.562,5309.2601,72.35,0.690144856,0.233670152,0.554777024,0.000135896,0.0,0.135367832,0.0,0.08402376,0.142466731,0.248847822,0.529827302,8.733272328,0.142466731,0.499268188,0.73759367,0.26240633,1.0,0.021724976,8.437026843,0.037045268,0.372056065,0.279976393,1.344874978,0.14852809411042575,0.395723798,0.04538912,0.287032579,0.077680635,8.577207763660855,3.376896149358226,0.15552577542137588,0.0,0,0,0,0,0
2013.0,AAP,ADVANCE AUTO PARTS INC,,A,,3989.384,5564.774,195.757,1516.205,1112.471,0.916,448.605,0.0,1052.668,17.574,693.305,901.1,3459.941,2556.557,0.0,2764.785,4048.569,391.758,0.0,545.25,693.305,1283.97,1092.795,277.595,6493.814,6493.814,1516.205,-34.974,91.957,1224.599,8061.9312,110.68,0.716899554,0.402371613,0.496836889,0.000164607,0.0,0.220062666,0.0,0.070399624,0.124588168,0.222572469,0.532805682,8.778759291,0.124588168,0.694278148,0.727535206,0.272464794,1.0,0.01652484,8.624391338,0.042747606,0.393691134,0.230731742,1.166950176,0.09798241581778523,0.359022467,0.044859326,0.0,0.080615134,8.994908409778132,4.480971659919029,0.1963772473060002,-0.006284891,0,0,0,0,0
2014.0,AAP,ADVANCE AUTO PARTS INC,,A,,4741.04,7962.358,228.446,2002.912,104.671,0.582,2238.2,1654.8,1636.311,17.58,933.944,1225.483,4745.152,3936.955,0.0,3743.066,5959.446,493.825,0.0,708.991,933.944,1432.03,1553.004,579.825,9843.861,9843.861,2002.912,-82.234,360.903,997.974,11639.2267,159.28,0.595431655,0.027963974,0.470095165,7.31e-05,0.0,0.12533649,0.0,0.062019944,0.117294902,0.205637068,0.482041752,9.194704872,0.117294902,0.816965998,0.748452406,0.251547594,1.0,0.045326146,8.982606049,0.058902193,0.399940125,0.179849989,1.236299724,0.08904284384098278,0.322212835,0.035599656,1.011299197,0.281097635,9.362136284370642,6.497246583724251,0.19504322714452174,-0.010327845,0,0,0,0,0
2015.0,AAP,ADVANCE AUTO PARTS INC,,A,,4940.746,8134.565,234.747,2460.648,90.782,0.598,618.3,1041.7,1213.161,17.649,952.839,1229.623,4699.556,4174.768,0.0,3797.477,5673.917,473.398,0.0,689.642,952.839,1434.577,1977.018,597.788,9737.018,9737.018,2460.648,-127.059,433.925,1143.269,11034.4901,150.51,0.607376793,0.023905872,0.466832215,7.35e-05,0.0,0.140544577,0.0,0.058195859,0.117134598,0.216715014,0.482648384,9.183792885,0.117134598,0.493025008,0.697507119,0.302492881,1.0,0.053343356,9.00400047,0.061393334,0.428752211,0.176355712,1.196993078,0.08477921068920097,0.340389651,0.037281526,0.858665915,0.076008981,9.308781110101714,6.804249547920433,0.2430391791079179,-0.015619643,0,0,0,0,0
2016.0,AAP,ADVANCE AUTO PARTS INC,,A,,5172.764,8315.033,259.559,2916.192,135.178,0.306,799.6,959.6,1042.949,17.738,860.426,1124.427,4519.916,4325.868,0.0,3676.046,5398.841,459.622,0.0,500.874,860.426,1446.34,2423.234,641.252,9567.679,9567.679,2916.192,-72.828,454.282,1496.718,12472.4309,169.12,0.622097832,0.036772663,0.442096381,3.68e-05,0.0,0.18000145,0.0,0.055276028,0.103478363,0.208271924,0.472415097,9.166250439,0.103478363,0.357640718,0.64928678,0.35071322,1.0,0.054633818,9.025940617,0.067022734,0.45213348,0.173942785,1.15064835,0.060237163219917476,0.518212165,0.038592583,0.920083341,0.096163178,9.431275959531431,8.000567684556614,0.29142806769377827,-0.008758594,0,0,0,0,0
2017.0,AAP,ADVANCE AUTO PARTS INC,,A,,5426.892,8482.301,189.758,3415.196,546.937,0.35,534.4,534.4,1044.327,17.854,654.744,909.044,4339.349,4168.492,0.0,3480.097,5067.105,475.505,0.0,600.805,654.744,1394.138,2895.142,606.357,9373.784,9373.784,3415.196,-75.654,303.62,1946.795,7370.6798,99.69,0.639790076,0.157161424,0.410277471,4.13e-05,0.0,0.229512605,0.0,0.056058492,0.077189432,0.179401058,0.462923938,9.145778811,0.077189432,0.305788306,0.597373873,0.402626127,1.0,0.035794533,9.045854922,0.06468647,0.444696827,0.164358468,1.105099194,0.0708304267910323,0.315839582,0.03754745,0.511717115,0.063001773,8.905265219735615,4.263900769888794,0.34131564064986614,-0.008919042,0,0,0,0,0
2018.0,AAP,ADVANCE AUTO PARTS INC,,A,,6082.454,9040.648,193.715,3550.813,896.527,0.21,0.0,0.0,1045.72,17.819,712.142,954.442,4468.453,4362.547,0.0,3885.95,5489.835,423.847,0.0,811.028,712.142,1368.985,3281.962,624.972,9580.554,9580.554,3550.813,-107.867,318.353,2196.504,11409.5516,157.46,0.672789605,0.230709865,0.429830915,2.32e-05,0.0,0.242958691,0.0,0.046882369,0.078771123,0.173856227,0.466408623,9.167595071,0.078771123,0.294501569,0.607239105,0.392760895,1.0,0.035213516,9.109596738,0.065233388,0.455354356,0.151425539,1.059719834,0.08970905625348981,0.238851186,0.042041114,0.0,0.0,9.342206143223253,7.366549707602339,0.3630228718118436,-0.011931335,0,0,0,0,0
2019.0,AAP,ADVANCE AUTO PARTS INC,,A,,5695.543,11248.525,270.129,3549.081,418.665,477.982,0.0,310.047,2764.479,17.185,767.493,1005.864,4509.472,4432.168,0.0,4477.702,7699.444,486.896,0.0,866.909,767.493,3798.538,3738.279,689.469,9709.003,9709.003,3549.081,-101.069,334.013,1217.841,11088.1971,160.16,0.506336875,0.093499969,0.398070147,0.04249286,0.0,0.108266728,0.0,0.04328532,0.068230546,0.130641122,0.464462932,9.18091187,0.068230546,0.778928123,0.684484766,0.315515234,1.0,0.029693938,9.328081185,0.071013368,0.456500837,0.337692097,0.863135656,0.07706868233835103,0.311600179,0.035295012,0.112153863,0.0,9.313636497245719,7.8164958516349445,0.33233503948295445,-0.008985089,0,0,0,0,0
2020.0,AAP,ADVANCE AUTO PARTS INC,,A,,6270.001,11839.636,267.576,3559.512,834.992,462.588,847.092,602.568,3047.483,56.347,859.915,1109.996,4707.519,4538.199,0.0,4743.915,8280.124,493.021,0.0,969.688,859.915,3842.589,4169.875,749.999,10106.321,10106.321,3559.512,-158.03,342.445,1526.086,10452.5211,157.51,0.529577176,0.176013272,0.400680815,0.039071134,0.0,0.128896361,0.0,0.041641567,0.072630189,0.13405548,0.465799473,9.221015292,0.072630189,0.856151911,0.699356298,0.300643702,1.0,0.028923609,9.379292623,0.074210882,0.449045602,0.324552968,0.853600651,0.08190184225258276,0.275940302,0.114289249,0.197726452,0.071547132,9.254598481884507,7.246836899010812,0.3521962161674565,-0.013347539,0,0,0,0,0
2021.0,AAP,ADVANCE AUTO PARTS INC,,A,,6275.476,12194.209,289.639,3128.291,601.428,465.121,0.0,0.0,3371.971,160.925,901.527,1161.46,5163.702,4659.018,0.0,5180.307,9065.918,616.108,0.0,1112.262,901.527,4200.121,4583.164,782.785,10997.989,10997.989,3128.291,-62.81,410.606,1095.169,14874.7189,239.88,0.514627558,0.116098911,0.424816977,0.038142777,0.0,0.089810581,0.0,0.050524638,0.073930749,0.128112785,0.46951329,9.305558638,0.073930749,1.077895567,0.743460933,0.256539067,1.0,0.033672213,9.408798449,0.071175285,0.423624537,0.344435707,0.901902616,0.0912123123361261,0.260405372,0.261196089,0.0,0.0,9.607418332756279,11.19104268719384,0.3758475847018859,-0.005150806,0,0,0,0,0
2022.0,AAP,ADVANCE AUTO PARTS INC,,A,,6046.852,12018.482,424.061,2678.281,269.282,599.543,348.618,201.081,3466.601,336.23,753.805,1037.605,5221.065,4915.262,0.0,5370.389,9340.201,501.872,185.0,722.222,753.805,4297.829,4699.481,698.613,11154.722,11154.722,2678.281,-34.062,415.997,676.463,8713.5859,147.03,0.50312943,0.050141992,0.446844202,0.049885085,0.015392959,0.056285228,0.0,0.041758352,0.062720483,0.111090222,0.468058729,9.319707829,0.062720483,1.294338047,0.777153138,0.222846862,1.0,0.034613107,9.394284112,0.062629351,0.440644061,0.357601651,0.928130691,0.06009261402563152,0.587161565,0.669951701,0.058005233,0.029006825,9.072638684318013,10.883049592894153,0.3910211788809934,-0.002834135,0,0,0,0,0
2023.0,AAP,ADVANCE AUTO PARTS INC,,A,,6377.021,12276.326,242.411,2519.728,503.471,445.061,599.571,0.0,4002.127,209.293,131.677,438.077,4829.902,4857.702,0.0,5307.405,9756.598,29.735,0.0,287.375,131.677,4227.322,4506.907,800.141,11287.607,11287.607,2519.728,-17.3,362.542,1069.616,3632.0174,61.03,0.519456798,0.09486199,0.432328451,0.036253599,0.0,0.087128348,0.0,0.002422142,0.010726092,0.044900589,0.427894238,9.331549266,0.010726092,1.588317072,0.794749015,0.205250985,1.0,0.0295318,9.415509426,0.070886681,0.430357116,0.344347486,0.919461327,0.023408876564535677,0.84353545,7.038607701,0.0,0.048839612,8.197543530458606,3.8167604752970608,0.3671218082673921,-0.001409216,0,0,0,0,0
